champion,item,frequency
TFT16_Aatrox,TFT_Item_Bloodthirster,272
TFT16_Aatrox,TFT_Item_UnstableConcoction,213
TFT16_Aatrox,TFT_Item_TitansResolve,143
TFT16_Ahri,TFT_Item_JeweledGauntlet,383
TFT16_Ahri,TFT_Item_Leviathan,361
TFT16_Ahri,TFT_Item_SpearOfShojin,199
TFT16_Ambessa,TFT_Item_UnstableConcoction,354
TFT16_Ambessa,TFT_Item_GuardianAngel,253
TFT16_Ambessa,TFT_Item_SteraksGage,223
TFT16_Anivia,TFT_Item_SpearOfShojin,4
TFT16_Anivia,TFT_Item_BlueBuff,3
TFT16_Anivia,TFT_Item_JeweledGauntlet,3
TFT16_Annie,TFT_Item_SpearOfShojin,473
TFT16_Annie,TFT_Item_StatikkShiv,326
TFT16_Annie,TFT_Item_AdaptiveHelm,270
TFT16_AnnieTibbers,TFT_Item_Redemption,207
TFT16_AnnieTibbers,TFT_Item_DragonsClaw,200
TFT16_AnnieTibbers,TFT_Item_WarmogsArmor,189
TFT16_Aphelios,TFT_Item_GuinsoosRageblade,103
TFT16_Aphelios,TFT_Item_RunaansHurricane,89
TFT16_Aphelios,TFT_Item_InfinityEdge,73
TFT16_Ashe,TFT_Item_GuinsoosRageblade,53
TFT16_Ashe,TFT_Item_Deathblade,32
TFT16_Ashe,TFT_Item_RunaansHurricane,25
TFT16_AurelionSol,TFT_Item_Leviathan,186
TFT16_AurelionSol,TFT_Item_JeweledGauntlet,130
TFT16_AurelionSol,TFT_Item_SpearOfShojin,52
TFT16_Azir,TFT_Item_GuinsoosRageblade,218
TFT16_Azir,TFT_Item_StatikkShiv,94
TFT16_Azir,TFT_Item_JeweledGauntlet,83
TFT16_Bard,TFT_Item_JeweledGauntlet,126
TFT16_Bard,TFT_Item_Leviathan,88
TFT16_Bard,TFT_Item_SpearOfShojin,84
TFT16_BaronNashor,TFT_Item_InfinityEdge,129
TFT16_BaronNashor,TFT_Item_SteraksGage,88
TFT16_BaronNashor,TFT_Item_Bloodthirster,80
TFT16_BelVeth,TFT_Item_Quicksilver,485
TFT16_BelVeth,TFT_Item_RunaansHurricane,330
TFT16_BelVeth,TFT_Item_MadredsBloodrazor,268
TFT16_Blitzcrank,TFT_Item_GargoyleStoneplate,4
TFT16_Blitzcrank,TFT_Item_BrambleVest,2
TFT16_Blitzcrank,TFT_Item_Crownguard,2
TFT16_Braum,TFT_Item_Redemption,447
TFT16_Braum,TFT_Item_BrambleVest,360
TFT16_Braum,TFT_Item_RedBuff,359
TFT16_Briar,TFT_Item_ThiefsGloves,10
TFT16_Briar,TFT_Item_GuardianAngel,4
TFT16_Briar,TFT_Item_TitansResolve,4
TFT16_Brock,TFT_Item_InfinityEdge,107
TFT16_Brock,TFT_Item_SteraksGage,104
TFT16_Brock,TFT_Item_Bloodthirster,87
TFT16_Caitlyn,TFT_Item_ForceOfNature,1
TFT16_Caitlyn,TFT_Item_LastWhisper,1
TFT16_Caitlyn,TFT_Item_MadredsBloodrazor,1
TFT16_ChoGath,TFT_Item_ThiefsGloves,18
TFT16_ChoGath,TFT_Item_WarmogsArmor,12
TFT16_ChoGath,TFT_Item_BrambleVest,10
TFT16_Darius,TFT_Item_SteraksGage,129
TFT16_Darius,TFT_Item_TitansResolve,122
TFT16_Darius,TFT_Item_AdaptiveHelm,116
TFT16_Diana,TFT_Item_Bloodthirster,29
TFT16_Diana,TFT_Item_TitansResolve,25
TFT16_Diana,TFT_Item_GuinsoosRageblade,16
TFT16_DrMundo,TFT_Item_RedBuff,61
TFT16_DrMundo,TFT_Item_Redemption,59
TFT16_DrMundo,TFT_Item_SpectralGauntlet,57
TFT16_Draven,TFT_Item_GuinsoosRageblade,108
TFT16_Draven,TFT_Item_RunaansHurricane,73
TFT16_Draven,TFT_Item_LastWhisper,54
TFT16_Ekko,TFT_Item_TitansResolve,12
TFT16_Ekko,TFT_Item_Bloodthirster,11
TFT16_Ekko,TFT_Item_GuardianAngel,5
TFT16_Fiddlesticks,TFT_Item_ThiefsGloves,335
TFT16_Fiddlesticks,TFT_Item_Morellonomicon,130
TFT16_Fiddlesticks,TFT_Item_PowerGauntlet,102
TFT16_Fizz,TFT_Item_JeweledGauntlet,100
TFT16_Fizz,TFT_Item_RabadonsDeathcap,76
TFT16_Fizz,TFT_Item_ThiefsGloves,73
TFT16_Galio,TFT_Item_ThiefsGloves,185
TFT16_Galio,TFT_Item_AdaptiveHelm,179
TFT16_Galio,TFT_Item_DragonsClaw,148
TFT16_Gangplank,TFT_Item_UnstableConcoction,40
TFT16_Gangplank,TFT_Item_Quicksilver,32
TFT16_Gangplank,TFT_Item_SteraksGage,30
TFT16_Garen,TFT_Item_Redemption,294
TFT16_Garen,TFT_Item_NightHarvester,239
TFT16_Garen,TFT_Item_DragonsClaw,215
TFT16_Graves,TFT_Item_ThiefsGloves,9
TFT16_Graves,TFT_Item_InfinityEdge,7
TFT16_Graves,TFT_Item_LastWhisper,6
TFT16_Gwen,TFT_Item_ThiefsGloves,14
TFT16_Gwen,TFT_Item_Bloodthirster,8
TFT16_Gwen,TFT_Item_JeweledGauntlet,7
TFT16_Illaoi,TFT_Item_Redemption,16
TFT16_Illaoi,TFT_Item_SpectralGauntlet,12
TFT16_Illaoi,TFT_Item_Bloodthirster,10
TFT16_JarvanIV,TFT_Item_Redemption,28
TFT16_JarvanIV,TFT_Item_NightHarvester,22
TFT16_JarvanIV,TFT_Item_WarmogsArmor,19
TFT16_Jhin,TFT_Item_LastWhisper,1
TFT16_Jhin,TFT_Item_MadredsBloodrazor,1
TFT16_Jinx,TFT_Item_GuinsoosRageblade,616
TFT16_Jinx,TFT_Item_RunaansHurricane,383
TFT16_Jinx,TFT_Item_LastWhisper,224
