comp_id,variable,variable_name,top4_mean,bottom4_mean,diff,diff_pct,effect_size,n_games
TFT16_Ahri | TFT16_Wukong | TFT16_Yone,level,Nivel,8.83,8.25,0.58,7.1,0.83,1417
TFT16_Ahri | TFT16_Wukong | TFT16_Yone,last_round,Ronda supervivencia,34.76,28.83,5.93,20.6,2.43,1417
TFT16_Ahri | TFT16_Wukong | TFT16_Yone,gold_left,Oro sobrante,5.98,6.82,-0.85,-12.4,-0.07,1417
TFT16_Ahri | TFT16_Wukong | TFT16_Yone,players_eliminated,Eliminaciones,1.27,0.21,1.06,515.4,1.26,1417
TFT16_Ahri | TFT16_Wukong | TFT16_Yone,total_damage_to_players,Daño total,126.77,66.09,60.69,91.8,2.04,1417
TFT16_Kindred | TFT16_Lucian | TFT16_Shyvana,level,Nivel,9.27,8.99,0.29,3.2,0.7,1334
TFT16_Kindred | TFT16_Lucian | TFT16_Shyvana,last_round,Ronda supervivencia,35.33,29.41,5.92,20.1,2.51,1334
TFT16_Kindred | TFT16_Lucian | TFT16_Shyvana,gold_left,Oro sobrante,4.89,3.12,1.77,56.8,0.23,1334
TFT16_Kindred | TFT16_Lucian | TFT16_Shyvana,players_eliminated,Eliminaciones,1.69,0.19,1.49,770.1,1.73,1334
TFT16_Kindred | TFT16_Lucian | TFT16_Shyvana,total_damage_to_players,Daño total,145.92,71.7,74.22,103.5,2.31,1334
TFT16_Annie | TFT16_AnnieTibbers | TFT16_Sylas,level,Nivel,9.35,9.08,0.27,3.0,0.7,791
TFT16_Annie | TFT16_AnnieTibbers | TFT16_Sylas,last_round,Ronda supervivencia,35.28,29.4,5.88,20.0,2.48,791
TFT16_Annie | TFT16_AnnieTibbers | TFT16_Sylas,gold_left,Oro sobrante,5.47,3.37,2.1,62.1,0.24,791
TFT16_Annie | TFT16_AnnieTibbers | TFT16_Sylas,players_eliminated,Eliminaciones,1.57,0.2,1.36,671.0,1.53,791
TFT16_Annie | TFT16_AnnieTibbers | TFT16_Sylas,total_damage_to_players,Daño total,136.56,69.79,66.77,95.7,2.06,791
TFT16_MissFortune | TFT16_Nautilus | TFT16_TwistedFate,level,Nivel,9.1,8.44,0.66,7.8,1.08,750
TFT16_MissFortune | TFT16_Nautilus | TFT16_TwistedFate,last_round,Ronda supervivencia,34.14,27.66,6.47,23.4,2.4,750
TFT16_MissFortune | TFT16_Nautilus | TFT16_TwistedFate,gold_left,Oro sobrante,8.62,10.19,-1.58,-15.5,-0.1,750
TFT16_MissFortune | TFT16_Nautilus | TFT16_TwistedFate,players_eliminated,Eliminaciones,1.45,0.11,1.34,1249.5,1.58,750
TFT16_MissFortune | TFT16_Nautilus | TFT16_TwistedFate,total_damage_to_players,Daño total,132.64,59.27,73.37,123.8,2.12,750
TFT16_Jinx | TFT16_Singed | TFT16_Warwick,level,Nivel,8.78,8.2,0.59,7.2,1.04,671
TFT16_Jinx | TFT16_Singed | TFT16_Warwick,last_round,Ronda supervivencia,34.3,28.34,5.97,21.1,2.53,671
