comp_core_str,games,top4_rate,avg_placement,win_rate,avg_level
TFT16_Aatrox | TFT16_Fiddlesticks | TFT16_Shyvana,29,1.0,2.034,0.276,9.241
TFT16_Ahri | TFT16_Kennen | TFT16_Sett,18,1.0,2.167,0.278,8.889
TFT16_Fiddlesticks | TFT16_Mel | TFT16_Shyvana,19,1.0,2.421,0.316,9.053
TFT16_Azir | TFT16_Ornn | TFT16_Zilean,20,1.0,1.45,0.75,9.65
TFT16_Azir | TFT16_Brock | TFT16_Ryze,17,1.0,1.588,0.529,9.529
TFT16_Ryze | TFT16_Sett | TFT16_Volibear,15,1.0,1.867,0.333,9.333
TFT16_Kindred | TFT16_Ornn | TFT16_TahmKench,17,1.0,2.118,0.471,9.294
TFT16_Kindred | TFT16_Lucian | TFT16_Sett,15,1.0,2.267,0.333,9.267
TFT16_Jinx | TFT16_Lucian | TFT16_Sejuani,15,1.0,2.133,0.333,8.733
TFT16_Ryze | TFT16_Shyvana | TFT16_Sylas,18,1.0,1.556,0.667,9.389
TFT16_Kindred | TFT16_Shyvana | TFT16_TahmKench,35,0.971,1.8,0.571,9.229
TFT16_Kindred | TFT16_Lucian | TFT16_Sylas,32,0.969,2.344,0.312,9.312
TFT16_Aatrox | TFT16_Ambessa | TFT16_Shyvana,31,0.968,2.29,0.258,9.032
TFT16_Kindred | TFT16_Lucian | TFT16_Ornn,61,0.967,1.836,0.508,9.393
TFT16_Fiddlesticks | TFT16_Kindred | TFT16_Sylas,29,0.966,1.966,0.483,9.69
TFT16_Lucian | TFT16_Ornn | TFT16_THex,29,0.966,1.862,0.483,9.379
TFT16_Kindred | TFT16_Sett | TFT16_Taric,25,0.96,2.68,0.2,9.32
TFT16_Lucian | TFT16_Ornn | TFT16_TahmKench,22,0.955,2.318,0.409,9.318
TFT16_Kindred | TFT16_Sett | TFT16_Shyvana,43,0.953,2.581,0.163,9.279
TFT16_Azir | TFT16_Shyvana | TFT16_Sylas,21,0.952,1.952,0.429,9.286
TFT16_Fiddlesticks | TFT16_Lucian | TFT16_Shyvana,62,0.952,2.258,0.306,9.274
TFT16_Azir | TFT16_Lucian | TFT16_Ornn,41,0.951,1.683,0.585,9.537
TFT16_Ryze | TFT16_Taric | TFT16_Volibear,73,0.945,2.301,0.274,9.37
