puuid,leaguePoints,wins,losses,tier
ku6-OAKXILJMi9QAV-oQgTP7I2ZUQzWETi9LB2qLI-QYA7rbm9wkpl3zQsGL5-aEu513_Tfunrqzhg,1904,240,115,CHALLENGER
WwCqAGLhx8AmD_O-2pW_ZaKzPuvsXINaXQ_gugz9VlljGeIA4YpVtYiduTcE_ujwEVQlRwXSirUEzA,1706,722,548,CHALLENGER
gp22GSIE5qqK95O1ZcnkoO4gHku-nT3JDIZqJaMCOianXaZXMOrmgyIcKK4Psvy_EuwksweWXA-A2A,1681,339,249,CHALLENGER
E_YnCFtaEQqxmkAe-I10Op9W3AkpwxywsArmbm-gs4sEl84PW_3YX0VRiEOLJYKow65FIYH3mtwaQg,1531,253,166,CHALLENGER
qIZwsHPHsbwgiunHe5JA6T5SKoje75DKfpRW3mvVEcIiO6_AkE7JhbGwAT0xV6QvAPuJ4z_dSKLAPA,1531,292,157,CHALLENGER
xfNbaAvQ2W5_8vQPoonoo_H5NrUl0PO6XndHQEx3wgro4MyJY0DLfQQQQHdPeRtJhSx_lmMo6xrBdQ,1521,137,49,CHALLENGER
3gxNs9Q7ycFfNgQLn-1WwO-oM867LzSNSVpZbaHBMtP-S0jy6elVW4lNyUARwi1kjgwgFYNOrkQ93A,1513,242,147,CHALLENGER
ErleM9HM35cifY76jutT1rg4qHstuw5d5laWTTwfSDNBAz8d4JF2S3E2s-5VC90GfM6x0_Zs5HxykA,1510,187,111,CHALLENGER
HKYZTjSVMFLwZiWFsh1TtLwMatHp5NQnhsQgNvcyCu97x2t8iDIMfpiJbd1TUxet0uhznZQSnz9Sog,1510,272,188,CHALLENGER
KdYLzfmqJoCw3P-arYYKGLQFzLy6zjEVt08OZ5iPiiie61ujbXzNoGOSeo9QzJLJ-qGdJDqJq8ormg,1510,234,167,CHALLENGER
BA899iwvy3ffP4pYs1IN8jcdlZiYlQXWriAneSCf0Gqu_P057cd7i_vpAxe7OmlyJH5zCrlxh4x4vg,1507,382,276,CHALLENGER
ICy1akGUFXwkA1iDrRCr-u_dZVNNKB9eBAqyyPkzFukHWeXhB2NloBEtQ_jtwcBfwfx6NacILMf8GQ,1506,146,76,CHALLENGER
H2LWTRWKiqKRtG_i47K0ZvTRJYOzVovZH9zOo4Ci6-u7wAKDe4N3btwkP3ZxJnRapIBngEOdxJCfgA,1495,464,394,CHALLENGER
JJUN6lkETQQlgzvAJbXoOTUkFv32kwEu39zrsv2hpJIhUHDz-RZjJnAVrOonEqUmyqghtvu8a9maFA,1474,412,298,CHALLENGER
